date	run_id	series	mode	seed	trials	detected	mutation_policy	fixture_name	fixture_size	fixture_sha256	raw_tsv_relpath	raw_tsv_sha256	signed_binary_sha256	source_commit	target	host	provenance
2026-04-25	legacy-2026-04-25-vmdk-c46320f8c374	vmdk/sample.vmdk/65536	bolter	42	100	0	contiguous-byte-span-v1	sample.vmdk	65536	unknown	docs/corruption-sweep-results/vmdk_bolter.tsv	c46320f8c374a7a2e2a23287775e7ecb9f849f6fee385509c37136a4fe4185a0	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-vmdk-2e5b0e295f19	vmdk/sample.vmdk/65536	shotgun	42	100	0	random-4096-byte-overwrite-v1	sample.vmdk	65536	unknown	docs/corruption-sweep-results/vmdk_shotgun.tsv	2e5b0e295f1937fc1001f149ed342db1b4ab7cd37f7f089b592d39c4bf339f57	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-vmdk-e4ef2c9be748	vmdk/sample.vmdk/65536	sniper	42	100	0	single-bit-v1	sample.vmdk	65536	unknown	docs/corruption-sweep-results/vmdk_sniper.tsv	e4ef2c9be74805ccdf5b9fb88c8a0c046b8aa75624430ac7fbd951d7da9a5fcc	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-vpk-655795e1f250	vpk/sample.vpk/28	sniper	42	100	100	single-bit-v1	sample.vpk	28	unknown	docs/corruption-sweep-results/vpk_sniper.tsv	655795e1f2500b56007dfe6d2d00981cc3636a00636a399470dadc1a8b090b1c	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-wad-0cb7b162f389	wad/sample.wad/12	sniper	42	100	100	single-bit-v1	sample.wad	12	unknown	docs/corruption-sweep-results/wad_sniper.tsv	0cb7b162f38978ad3e403aff76164fbd436de32334a6259c1f8b6196e083c57a	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-warc-044b194dc0c8	warc/sample.warc/1165	sniper	42	100	48	single-bit-v1	sample.warc	1165	unknown	docs/corruption-sweep-results/warc_sniper.tsv	044b194dc0c806b3d14736b48a619b97d3bb0dece78019c1914e53de9abb1319	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-wasm-7b1be080c8d8	wasm/minimal.wasm/24	sniper	42	100	35	single-bit-v1	minimal.wasm	24	unknown	docs/corruption-sweep-results/wasm_sniper.tsv	7b1be080c8d8d933ddfec5b428d915189ab1f4195fc535d20cdc31ac6d616857	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-wim-d2b4609ee5ad	wim/sample.wim/1214	sniper	42	100	8	single-bit-v1	sample.wim	1214	unknown	docs/corruption-sweep-results/wim_sniper.tsv	d2b4609ee5ad8f9006939bb3f10ca8ca5ddf09cff706387535e9410301154009	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-wpd-92586d8a4f9c	wpd/sample.wpd/512	sniper	42	100	2	single-bit-v1	sample.wpd	512	unknown	docs/corruption-sweep-results/wpd_sniper.tsv	92586d8a4f9c29490fdeb1941b6711819ca0d462901979f89b349345c571b026	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-x12_edi-c59994aed347	x12_edi/sample.edi/262	sniper	42	100	21	single-bit-v1	sample.edi	262	unknown	docs/corruption-sweep-results/x12_edi_sniper.tsv	c59994aed3477d20cf9aad0da220b397b068dcfe046a480d7dfe870a52bb2c6a	unknown	unknown	unknown	unknown	historical-raw-incomplete
